timestamp,step,samples,episodes,epoch_progress,loss,grad_norm,lr,update_s,data_s
2026-04-27 02:09:06,100,200,1,0.01,0.118,3.117,1.5e-05,0.216,0.003
2026-04-27 02:09:28,200,400,1,0.01,0.1,2.544,4.5e-05,0.212,0.002
2026-04-27 02:09:49,300,600,2,0.02,0.114,2.44,7.5e-05,0.211,0.002
2026-04-27 02:10:10,400,800,2,0.02,0.132,2.486,9.8e-05,0.212,0.002
2026-04-27 02:10:33,500,1000,3,0.03,0.125,2.201,0.0001,0.222,0.002
2026-04-27 02:10:56,600,1000,3,0.04,0.125,2.225,9.9e-05,0.223,0.002
2026-04-27 02:11:18,700,1000,4,0.04,0.124,2.005,9.9e-05,0.221,0.002
2026-04-27 02:11:41,800,2000,4,0.05,0.116,2.027,9.9e-05,0.224,0.002
2026-04-27 02:12:03,900,2000,5,0.05,0.109,1.876,9.8e-05,0.223,0.002
2026-04-27 02:12:26,1000,2000,5,0.06,0.112,1.894,9.8e-05,0.221,0.002
2026-04-27 02:12:50,1000,2000,6,0.07,0.124,1.963,9.7e-05,0.223,0.002
2026-04-27 02:13:13,1000,2000,6,0.07,0.106,1.742,9.7e-05,0.222,0.002
2026-04-27 02:13:35,1000,3000,7,0.08,0.092,1.64,9.6e-05,0.226,0.002
2026-04-27 02:13:59,1000,3000,7,0.08,0.11,1.759,9.6e-05,0.23,0.002
2026-04-27 02:14:22,2000,3000,8,0.09,0.099,1.742,9.5e-05,0.232,0.002
2026-04-27 02:14:45,2000,3000,9,0.09,0.092,1.643,9.4e-05,0.229,0.002
2026-04-27 02:15:08,2000,3000,9,0.1,0.097,1.577,9.4e-05,0.226,0.002
2026-04-27 02:15:31,2000,4000,10,0.11,0.092,1.591,9.3e-05,0.222,0.002
2026-04-27 02:15:53,2000,4000,10,0.11,0.084,1.445,9.2e-05,0.223,0.002
2026-04-27 02:16:16,2000,4000,11,0.12,0.08,1.462,9.1e-05,0.219,0.002
2026-04-27 02:16:39,2000,4000,11,0.12,0.098,1.616,9e-05,0.218,0.002
2026-04-27 02:17:01,2000,4000,12,0.13,0.078,1.417,8.9e-05,0.218,0.002
2026-04-27 02:17:23,2000,5000,12,0.14,0.095,1.676,8.8e-05,0.218,0.002
2026-04-27 02:17:45,2000,5000,13,0.14,0.075,1.368,8.7e-05,0.218,0.002
2026-04-27 02:18:08,2000,5000,13,0.15,0.079,1.36,8.6e-05,0.218,0.002
2026-04-27 02:18:30,3000,5000,14,0.15,0.084,1.492,8.5e-05,0.218,0.002
2026-04-27 02:18:52,3000,5000,14,0.16,0.085,1.504,8.4e-05,0.219,0.002
2026-04-27 02:19:14,3000,6000,15,0.17,0.084,1.448,8.3e-05,0.22,0.002
2026-04-27 02:19:36,3000,6000,15,0.17,0.077,1.384,8.2e-05,0.22,0.002
2026-04-27 02:19:59,3000,6000,16,0.18,0.078,1.368,8.1e-05,0.222,0.002
2026-04-27 02:20:22,3000,6000,17,0.18,0.077,1.382,7.9e-05,0.219,0.002
2026-04-27 02:20:45,3000,6000,17,0.19,0.068,1.229,7.8e-05,0.221,0.002
2026-04-27 02:21:07,3000,7000,18,0.2,0.069,1.262,7.7e-05,0.222,0.002
2026-04-27 02:21:30,3000,7000,18,0.2,0.069,1.298,7.5e-05,0.225,0.002
2026-04-27 02:21:53,4000,7000,19,0.21,0.068,1.236,7.4e-05,0.231,0.002
2026-04-27 02:22:17,4000,7000,19,0.21,0.067,1.232,7.3e-05,0.231,0.002
2026-04-27 02:22:40,4000,7000,20,0.22,0.076,1.36,7.1e-05,0.232,0.002
2026-04-27 02:23:04,4000,8000,20,0.22,0.069,1.239,7e-05,0.235,0.002
2026-04-27 02:23:28,4000,8000,21,0.23,0.062,1.2,6.8e-05,0.231,0.002
2026-04-27 02:23:51,4000,8000,21,0.24,0.073,1.305,6.7e-05,0.229,0.002
2026-04-27 02:24:15,4000,8000,22,0.24,0.063,1.122,6.6e-05,0.229,0.002
2026-04-27 02:24:39,4000,8000,22,0.25,0.06,1.147,6.4e-05,0.233,0.002
2026-04-27 02:25:02,4000,9000,23,0.25,0.066,1.128,6.3e-05,0.23,0.002
2026-04-27 02:25:26,4000,9000,23,0.26,0.06,1.161,6.1e-05,0.231,0.002
2026-04-27 02:25:49,4000,9000,24,0.27,0.056,1.015,6e-05,0.232,0.002
2026-04-27 02:26:12,5000,9000,24,0.27,0.063,1.163,5.8e-05,0.228,0.002
2026-04-27 02:26:36,5000,9000,25,0.28,0.055,1.048,5.7e-05,0.233,0.002
2026-04-27 02:26:59,5000,10000,26,0.28,0.068,1.163,5.5e-05,0.23,0.002
2026-04-27 02:27:22,5000,10000,26,0.29,0.056,1.06,5.4e-05,0.222,0.002
2026-04-27 02:27:44,5000,10000,27,0.3,0.051,1.026,5.2e-05,0.222,0.002
2026-04-27 02:28:08,5000,10000,27,0.3,0.053,1.03,5e-05,0.221,0.002
2026-04-27 02:28:31,5000,10000,28,0.31,0.056,1.04,4.9e-05,0.222,0.002
2026-04-27 02:28:54,5000,11000,28,0.31,0.05,1.033,4.7e-05,0.23,0.002
2026-04-27 02:29:18,5000,11000,29,0.32,0.052,1.02,4.6e-05,0.234,0.002
2026-04-27 02:29:41,6000,11000,29,0.33,0.051,1.017,4.4e-05,0.233,0.002
2026-04-27 02:30:05,6000,11000,30,0.33,0.049,0.946,4.3e-05,0.234,0.002
2026-04-27 02:30:29,6000,11000,30,0.34,0.055,1.08,4.1e-05,0.232,0.002
2026-04-27 02:30:52,6000,12000,31,0.34,0.046,0.922,4e-05,0.234,0.002
2026-04-27 02:31:16,6000,12000,31,0.35,0.049,0.93,3.8e-05,0.233,0.002
2026-04-27 02:31:39,6000,12000,32,0.36,0.048,0.975,3.7e-05,0.232,0.002
2026-04-27 02:32:03,6000,12000,32,0.36,0.054,1.026,3.5e-05,0.226,0.002
2026-04-27 02:32:27,6000,12000,33,0.37,0.048,0.965,3.4e-05,0.228,0.002
2026-04-27 02:32:50,6000,13000,34,0.37,0.056,1.046,3.3e-05,0.232,0.002
2026-04-27 02:33:14,6000,13000,34,0.38,0.048,0.926,3.1e-05,0.231,0.002
2026-04-27 02:33:37,6000,13000,35,0.38,0.049,0.93,3e-05,0.225,0.002
2026-04-27 02:34:00,7000,13000,35,0.39,0.048,0.906,2.8e-05,0.231,0.002
2026-04-27 02:34:24,7000,13000,36,0.4,0.046,0.918,2.7e-05,0.23,0.002
2026-04-27 02:34:46,7000,14000,36,0.4,0.049,0.912,2.6e-05,0.23,0.002
2026-04-27 02:35:09,7000,14000,37,0.41,0.042,0.886,2.4e-05,0.229,0.002
2026-04-27 02:35:33,7000,14000,37,0.41,0.044,0.867,2.3e-05,0.229,0.002
2026-04-27 02:35:57,7000,14000,38,0.42,0.044,0.864,2.2e-05,0.228,0.002
2026-04-27 02:36:20,7000,14000,38,0.43,0.044,0.867,2.1e-05,0.23,0.002
2026-04-27 02:36:44,7000,15000,39,0.43,0.04,0.843,2e-05,0.232,0.002
2026-04-27 02:37:07,7000,15000,39,0.44,0.047,0.924,1.8e-05,0.231,0.002
2026-04-27 02:37:31,8000,15000,40,0.44,0.041,0.842,1.7e-05,0.231,0.002
2026-04-27 02:37:54,8000,15000,40,0.45,0.046,0.882,1.6e-05,0.229,0.002
2026-04-27 02:38:18,8000,15000,41,0.46,0.044,0.893,1.5e-05,0.233,0.002
2026-04-27 02:38:42,8000,16000,42,0.46,0.043,0.795,1.4e-05,0.232,0.002
2026-04-27 02:39:04,8000,16000,42,0.47,0.046,0.904,1.3e-05,0.227,0.002
2026-04-27 02:39:28,8000,16000,43,0.47,0.047,0.914,1.2e-05,0.232,0.002
